facility_id,facility_coid,facility_name,timezone,tz_utc_offset,tz_description,emr_mnem,emr_name,facility_status,facility_address1,facility_city,facility_state,facility_zip,company_name,division_mnem,division_name,network_meditech_network,cityConcat,addConcat,,
18000016,34654,LewisGale Alleghany,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1 Alleghany Regional Hospital Lane,Low Moor,VA,24457,HCA,H-CAP,Capital,VAB, Low Moor,1 Alleghany Regional Hospital Lane Low Moor,37.7887382,-79.8836637
18000023,25314,Appomattox Imaging Center,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,"930 S. Ave
 
 Suite 101",Colonial Heights,VA,23834,HCA,H-CAP,Capital,VAA, Colonial Heights,"930 S. Ave
 
 Suite 101 Colonial Heights",37.2429405,-77.3899499
18000070,25446,Brambleton Imaging Center,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,4330 Brambleton Avenue,Roanoke,VA,24018,HCA,H-CAP,Capital,VAB, Roanoke,4330 Brambleton Avenue Roanoke,37.2267477,-80.0100414
18000083,9798,Buford Road Imaging,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,2612 Burford Road,Richmond,VA,23235,HCA,H-CAP,Capital,VAA, Richmond,2612 Burford Road Richmond,37.534077,-77.5622778
18000118,3449,Chesterfield Imaging,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,13636 Hull Street Road,Midlothian,VA,23112,HCA,H-CAP,Capital,VAA, Midlothian,13636 Hull Street Road Midlothian,37.4095206,-77.6547276
18000125,34632,Chippenham-Johnston Willis Medical Center,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1401 Johnston-Willis Drive,Richmond,VA,23235,HCA,H-CAP,Capital,VAA, Richmond,1401 Johnston-Willis Drive Richmond,37.510606,-77.5946555
18000243,25061,Capital Division Hub Sites,est,-5:00:00,Eastern Time Zone,Unknown,Need to Identify,1,110 N. Robinson Steet. Suite 201,Richmond,VA,23220,HCA,H-CAP,Capital,*None, Richmond,110 N. Robinson Steet. Suite 201 Richmond,37.553508,-77.473155
18000348,8409,Dominion Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,2960 Sleepy Hollow Road,Falls Church,VA,22044,HCA,H-CAP,Capital,VAC, Falls Church,2960 Sleepy Hollow Road Falls Church,38.8700419,-77.1580879
18000501,34634,Henrico Doctors Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1602 Skipwith Rd,Richmond,VA,23229,HCA,H-CAP,Capital,VAA, Richmond,1602 Skipwith Rd Richmond,37.6047813,-77.5402667
18000572,23001,Independence Park Imagaing Center,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,"9930 Independence Park Drive, Suite 100",Richmond,VA,23233,HCA,H-CAP,Capital,VAA, Richmond,"9930 Independence Park Drive, Suite 100 Richmond",37.6367267,-77.5708085
18000593,34627,TriCities Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,411 W Randolph Rd,Hopewell,VA,23860,HCA,H-CAP,Capital,VAA, Hopewell,411 W Randolph Rd Hopewell,37.308009,-77.291156
18000641,34630,LewisGale Medical Center - Salem,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1900 Electric Rd,Salem,VA,24153,HCA,H-CAP,Capital,VAB, Salem,1900 Electric Rd Salem,37.2632023,-80.031311
18000749,34610,LewisGale Montgomery,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,3700 S Main St,Blacksburg,VA,24060,HCA,H-CAP,Capital,VAB, Blacksburg,3700 S Main St Blacksburg,37.1872989,-80.4108939
18000877,32905,Parkland Medical Center,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1 Parkland Dr,Derry,NH,3038,HCA,H-CAP,Capital,NHA, Derry,1 Parkland Dr Derry,42.8770121,-71.3165594
18000909,32902,Portsmouth Regional Medical Ctr.,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,333 Borthwick Ave,Portsmouth,NH,3801,HCA,H-CAP,Capital,NHA, Portsmouth,333 Borthwick Ave Portsmouth,43.0648113,-70.7902541
18000925,34605,LewisGale Pulaski,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,2400 Lee Hwy,Pulaski,VA,24301,HCA,H-CAP,Capital,VAB, Pulaski,2400 Lee Hwy Pulaski,37.0682291,-80.75703
18000969,8540,Reston Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1850 Town Center Pkwy,Reston,VA,20190,HCA,H-CAP,Capital,VAC, Reston,1850 Town Center Pkwy Reston,38.9626797,-77.363936
18001065,25325,Spotsylvania Regional Medical Center,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,4600 Spotsylvania Parkway,Fredericksburg,VA,22408,HCA,H-CAP,Capital,VAA, Fredericksburg,4600 Spotsylvania Parkway Fredericksburg,38.2178326,-77.4962824
18001107,26630,Stone Springs Medical Center,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,24440 Stone Springs Blvd,Dulles,VA,20166,HCA,H-CAP,Capital,VAC, Dulles,24440 Stone Springs Blvd Dulles,38.9404382,-77.5424483
18001141,31408,Terre Haute Regional Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,3901 S 7th St,Terre Haute,IN,47802,HCA,H-CAP,Capital,INA, Terre Haute,3901 S 7th St Terre Haute,39.4191964,-87.4092855
18001361,27720,Frisbie Memorial Hospital,est,-5:00:00,Eastern Time Zone,Unknown,Need to Identify,1,11 Whitehall Road,Rochester,NH,27720,HCA,H-CAP,Capital,*None, Rochester,11 Whitehall Road Rochester,43.2981782,-70.9607926
18001461,27720,Frisbie Memorial Hospital (EXP),est,-5:00:00,Eastern Time Zone,MTX,Meditech Expanse GCP,1,11 Whitehall Road,Rochester,NH,27720,HCA,H-CAP,Capital,HCANH, Rochester,11 Whitehall Road Rochester,43.2981782,-70.9607926
18001470,32902,Portsmouth Regional Medical Center (EXP),est,-5:00:00,Eastern Time Zone,MTX,Meditech Expanse GCP,1,333 Borthwick,Portsmouth,NH,3801,HCA,H-CAP,Capital,HCANH, Portsmouth,333 Borthwick Portsmouth,43.0648113,-70.7902541
18001471,32905,Parkland Medical Center (EXP),est,-5:00:00,Eastern Time Zone,MTX,Meditech Expanse GCP,1,1 Parkland Dr,Derry,NH,3038,HCA,H-CAP,Capital,HCANH, Derry,1 Parkland Dr Derry,42.8770121,-71.3165594
18001082,25067,St. David's Georgetown Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,2000 Scenic Drive,Georgetown,TX,78626,HCA,H-CWT,Central West Tx,TXI, Georgetown,2000 Scenic Drive Georgetown,30.6260972,-97.6893849
18001084,6676,St. David's Medical Center,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,919 E 32nd St,Austin,TX,78705,HCA,H-CWT,Central West Tx,TXI, Austin,919 E 32nd St Austin,30.2899658,-97.7265342
18001087,34320,St. David's South Hospital (South Austin Hosp),cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,901 West Ben White Blvd,Austin,TX,78704,HCA,H-CWT,Central West Tx,TXI, Austin,901 West Ben White Blvd Austin,30.2261149,-97.7745674
18001089,26825,St. David's Surgical Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,1210 West Henna Blvd,Austin,TX,78664,HCA,H-CWT,Central West Tx,TXI, Austin,1210 West Henna Blvd Austin,30.267153,-97.7430608
18000996,37381,Round Rock Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,2400 Round Rock Ave,Round Rock,TX,78681,HCA,H-CWT,Central West Tx,TXI, Round Rock,2400 Round Rock Ave Round Rock,30.5101558,-97.7131789
18000631,39307,Las Palmas Medical Center,mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,1801 North Oregon Street,El Paso,TX,79902,HCA,H-CWT,Central West Tx,TXB, El Paso,1801 North Oregon Street El Paso,31.7699621,-106.4990287
18000770,8224,North Austin Medical Center,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,12221 MoPac Expressway,Austin,TX,78758,HCA,H-CWT,Central West Tx,TXI, Austin,12221 MoPac Expressway Austin,30.4112106,-97.7063767
18000494,25960,Heart Hospital of Austin,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,3801 N Lamar Blvd,Austin,TX,78756,HCA,H-CWT,Central West Tx,TXI, Austin,3801 N Lamar Blvd Austin,30.3058537,-97.7410337
18000221,25473,Central & West Texas Division Hub Sites,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,"98 San Jacinto Blvd, Suite 1800",Austin,TX,78701,HCA,H-CWT,Central West Tx,*None, Austin,"98 San Jacinto Blvd, Suite 1800 Austin",30.2615215,-97.7417551
18000208,39309,Del Sol Medical Center (Medical Center East),mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,10301 Gateway West,El Paso,TX,79925,HCA,H-CWT,Central West Tx,TXB, El Paso,10301 Gateway West El Paso,31.756534,-106.3495064
18000036,25913,Austin Heart,cst,-6:00:00,Central Time Zone,EPIC,EPIC,1,"7800 Shoal Creek Blvd, Suite 205 N",Austin,TX,78757,HCA,H-CWT,Central West Tx,*None, Austin,"7800 Shoal Creek Blvd, Suite 205 N Austin",30.3602128,-97.7423068
18000248,30620,Continental Division Hub Sites,mst,-7:00:00,Mountain Time Zone,Unknown,Need to Identify,1,"4900 South Monaco Street
 
 Suite 380",Denver,CO,80237,HCA,H-CON,Continental,*None, Denver,"4900 South Monaco Street
 
 Suite 380 Denver",39.6260444,-104.9108076
18000432,26330,Wesley Woodlawn Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,2610 North Woodlawn,Wichita,KS,67220,HCA,H-CON,Continental,KSB, Wichita,2610 North Woodlawn Wichita,37.7313135,-97.2603889
18000678,27400,Medical Center of Aurora,mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,1501 S Potomac St,Aurora,CO,80012,HCA,H-CON,Continental,COA, Aurora,1501 S Potomac St Aurora,39.6900876,-104.8319639
18000790,27450,North Suburban Medical Center,mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,9191 Grant St,Thornton,CO,80229,HCA,H-CON,Continental,COA, Thornton,9191 Grant St Thornton,39.8635551,-104.9857089
18000992,30668,Rose Medical Center,mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,4567 East Ninth Avenue,Denver,CO,80220,HCA,H-CON,Continental,COA, Denver,4567 East Ninth Avenue Denver,39.732185,-104.9340497
18001026,8936,Sky Ridge Medical Center,mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,10101 RidgeGate Pkwy,Lone Tree,CO,80124,HCA,H-CON,Continental,COA, Lone Tree,10101 RidgeGate Pkwy Lone Tree,39.5297665,-104.8716442
18000910,27200,Presbyterian / St. Luke's Medical Center,mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,1719 E 19th Ave,Denver,CO,80218,HCA,H-CON,Continental,COA, Denver,1719 E 19th Ave Denver,39.7471548,-104.9674525
18001057,27490,Spalding Rehabilitation,mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,900 Potomac St,Denver,CO,80011,HCA,H-CON,Continental,COA, Denver,900 Potomac St Denver,39.7311339,-104.8273128
18001132,27100,Swedish Medical Center,mst,-7:00:00,Mountain Time Zone,MT56,Meditech 5.6,1,501 E Hampden Ave,Englewood,CO,80110,HCA,H-CON,Continental,COA, Englewood,501 E Hampden Ave Englewood,39.6543076,-104.9812245
18001194,31608,Wesley Medical Center,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,550 N Hillside Street,Wichita,KS,67214,HCA,H-CON,Continental,KSB, Wichita,550 N Hillside Street Wichita,37.6960423,-97.2984232
18001198,25501,West Boynton Open Imaging,est,-5:00:00,Eastern Time Zone,Unknown,Need to Identify,1,10151 Enterprise Center Blvd,Boynton Beach,FL,33437,HCA,H-EFL,East Florida,*None, Boynton Beach,10151 Enterprise Center Blvd Boynton Beach,26.5258647,-80.1677578
18001212,30908,HCA Florida Westside Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,8201 W Broward Blvd,Plantation,FL,33324,HCA,H-EFL,East Florida,FLB, Plantation,8201 W Broward Blvd Plantation,26.1238741,-80.2594873
18001176,35940,HCA Florida Woodmont Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,7201 N University Dr,Tamarac,FL,33321,HCA,H-EFL,East Florida,FLB, Tamarac,7201 N University Dr Tamarac,26.2119682,-80.2542607
18000897,37939,HCA Florida Plantation Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,401 NW 42nd Ave,Plantation,FL,33317,HCA,H-EFL,East Florida,FLB, Plantation,401 NW 42nd Ave Plantation,26.1265026,-80.2053822
18000906,30996,HCA Florida St. Lucie Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1800 SE Tiffany Ave,Port St. Luice,FL,34952,HCA,H-EFL,East Florida,FLK, Port St. Luice,1800 SE Tiffany Ave Port St. Luice,27.2884484,-80.2939746
18000857,3196,Palm Beach Gardens Open Imaging,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,3335 Burns Rd. Suite 101,Palm Beach Gardens,FL,33410,HCA,H-EFL,East Florida,FLJ, Palm Beach Gardens,3335 Burns Rd. Suite 101 Palm Beach Gardens,26.8308485,-80.0871177
18000862,37940,HCA Florida Palms West Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,13001 Southern Blvd,Loxachatchee,FL,33470,HCA,H-EFL,East Florida,FLJ, Loxachatchee,13001 Southern Blvd Loxachatchee,26.683724,-80.2526164
18001023,26111,Sisters of Emmanuel,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,3663 South Miami Avenue,Miami,FL,33133,HCA,H-EFL,East Florida,FLB, Miami,3663 South Miami Avenue Miami,25.7400049,-80.213526
18000939,30933,HCA Florida Raulerson Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1796 Hwy 441 North,Okeechobee,FL,34972,HCA,H-EFL,East Florida,FLK, Okeechobee,1796 Hwy 441 North Okeechobee,27.259774,-80.8284891
18001422,27550,HCA Florida University Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,3476 South University Drive,Davie,FL,33328,HCA,H-EFL,East Florida,FLB, Davie,3476 South University Drive Davie,26.0779435,-80.2510158
18001251,26950,HCA Florida Highlands Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,3600 South Highlands Avenue,Sebring,FL,33870,HCA,H-EFL,East Florida,FLK, Sebring,3600 South Highlands Avenue Sebring,27.4656135,-81.4329631
18000811,30995,HCA Florida Northwest Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,2801 N State Rd 7,Margate,FL,33063,HCA,H-EFL,East Florida,FLB, Margate,2801 N State Rd 7 Margate,26.2630016,-80.2027722
18000636,30932,HCA Florida Lawnwood Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,1700 S 23rd St,Fort Pierce,FL,34954,HCA,H-EFL,East Florida,FLK, Fort Pierce,1700 S 23rd St Fort Pierce,27.4315046,-80.3454073
18000722,26110,HCA Florida Mercy Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,3663 South Miami Avenue,Miami,FL,33133,HCA,H-EFL,East Florida,FLB, Miami,3663 South Miami Avenue Miami,25.7400049,-80.213526
18000596,3203,Jupiter Open Imaging (OR),est,-5:00:00,Eastern Time Zone,Unknown,Need to Identify,1,"875-N. Military Trail, Suite 101",Jupiter,FL,33458,HCA,H-EFL,East Florida,FLJ, Jupiter,"875-N. Military Trail, Suite 101 Jupiter",26.6903133,-80.1117698
18000601,35941,HCA Florida Kendall Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,11750 Bird Rd,Miami,FL,33175,HCA,H-EFL,East Florida,FLA, Miami,11750 Bird Rd Miami,25.7316502,-80.3858652
18000579,8647,Integrated Regional Rapid Response Lab,est,-5:00:00,Eastern Time Zone,Unknown,Need to Identify,1,300 East Las Olas Blvd,Ft. Lauderdale,FL,33301,HCA,H-EFL,East Florida,IRL, Ft. Lauderdale,300 East Las Olas Blvd Ft. Lauderdale,26.1191694,-80.1404527
18000589,37969,HCA Florida JFK Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,5301 South Congress Ave,Atlantis,FL,33462,HCA,H-EFL,East Florida,FLJ, Atlantis,5301 South Congress Ave Atlantis,26.5984585,-80.0909848
18000590,30923,HCA Florida JFK North Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,2201 45th St,West Palm Beach,FL,33407,HCA,H-EFL,East Florida,FLJ, West Palm Beach,2201 45th St West Palm Beach,26.7616551,-80.087801
18000249,35979,East Florida Division Hub Sites,est,-5:00:00,Eastern Time Zone,Unknown,Need to Identify,1,450 East Las Olas Blvd.. Suite 1100,Ft. Lauderdale,FL,33301,HCA,H-EFL,East Florida,*None, Ft. Lauderdale,450 East Las Olas Blvd.. Suite 1100 Ft. Lauderdale,26.118793,-80.138774
18000041,30920,HCA Florida Aventura Hospital,est,-5:00:00,Eastern Time Zone,MT56,Meditech 5.6,1,20900 Biscayne Blvd,Aventura,FL,33180,HCA,H-EFL,East Florida,FLE, Aventura,20900 Biscayne Blvd Aventura,25.9699432,-80.1454176
18000209,3190,Delray Open Imaging (OR),est,-5:00:00,Eastern Time Zone,Unknown,Need to Identify,1,"4800 Linton Blvd, Bldg C",Delray,FL,33445,HCA,H-EFL,East Florida,FLJ, Delray,"4800 Linton Blvd, Bldg C Delray",26.4375077,-80.1182246
18000178,3194,Concept Open Imaging (OR),est,-5:00:00,Eastern Time Zone,Unknown,Need to Identify,1,"2290 10th Ave North, Suite 101",West Palm Beach,FL,33461,HCA,H-EFL,East Florida,FLJ, West Palm Beach,"2290 10th Ave North, Suite 101 West Palm Beach",26.6272638,-80.0770283
18000250,25471,Far West Division Hub Sites,pst,-8:00:00,Pacific Time Zone,Unknown,Need to Identify,1,"2275 Corporate Circle, Suite 100",Henderson,NV,89074,HCA,H-FWD,Far West,*None, Henderson,"2275 Corporate Circle, Suite 100 Henderson",36.0269299,-115.0889486
18000450,30572,Good Samaritan Hospital,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,2425 Samaritan Dr,San Jose,CA,95124,HCA,H-FWD,Far West,CAA, San Jose,2425 Samaritan Dr San Jose,37.2531634,-121.9474221
18000653,30555,Los Robles Hospital,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,215 West Janss Rd,Thousand Oaks,CA,91360,HCA,H-FWD,Far West,CAC, Thousand Oaks,215 West Janss Rd Thousand Oaks,34.2067796,-118.8830898
18000956,8385,Regional Medical Center of San Jose,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,225 North Jackson Ave,San Jose,CA,95116,HCA,H-FWD,Far West,CAA, San Jose,225 North Jackson Ave San Jose,37.3622057,-121.8489667
18000981,7150,Riverside Community Hospital,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,4445 Magnolia Ave,Riverside,CA,92501,HCA,H-FWD,Far West,CAC, Riverside,4445 Magnolia Ave Riverside,33.9772213,-117.3815694
18000984,23013,Riverside Imaging Center,pst,-8:00:00,Pacific Time Zone,Unknown,Need to Identify,1,4000 14th Street Suite 109,Riverside,CA,92501,HCA,H-FWD,Far West,CAC, Riverside,4000 14th Street Suite 109 Riverside,33.9780762,-117.3829771
18001045,8967,Southern Hills Medical Center (Las Vegas),pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,9300 West Sunset Rd,Las Vegas,NV,89148,HCA,H-FWD,Far West,NVA, Las Vegas,9300 West Sunset Rd Las Vegas,36.0723796,-115.2949636
18001202,30504,West Hills Medical Center,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,7300 Medical Center Dr,West Hills,CA,91307,HCA,H-FWD,Far West,CAC, West Hills,7300 Medical Center Dr West Hills,34.20296,-118.629088
18001122,32801,Sunrise Hospital and Medical Center,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,3186 S Maryland Parkway,Las Vegas,NV,89109,HCA,H-FWD,Far West,NVA, Las Vegas,3186 S Maryland Parkway Las Vegas,36.1327154,-115.1358324
18001125,32819,Sunrise Mountain View Hospital,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,3100 N Tenaya Way,Las Vegas,NV,89128,HCA,H-FWD,Far West,NVA, Las Vegas,3100 N Tenaya Way Las Vegas,36.21486,-115.2488442
18001143,39339,Texas Orthopedic Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,7401 South Main,Houston,TX,77030,HCA,H-GCD,Gulf Coast,TXA, Houston,7401 South Main Houston,29.6731289,-95.4123074
18001148,9309,Thomas Span - Clinic,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,1533 South Brownlee,Corpus Christi,TX,78404,HCA,H-GCD,Gulf Coast,*None, Corpus Christi,1533 South Brownlee Corpus Christi,27.7750586,-97.4049653
18001203,34327,HCA Houston Healthcare West,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,12141 Richmond Ave,Houston,TX,77082,HCA,H-GCD,Gulf Coast,TXA, Houston,12141 Richmond Ave Houston,29.7281608,-95.5938957
18001221,34319,Woman's Hospital of Texas,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,7600 Fannin,Houston,TX,77054,HCA,H-GCD,Gulf Coast,TXA, Houston,7600 Fannin Houston,29.6942265,-95.4017108
18001184,37358,Valley Regional Medical Center,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,100 A Alton Gloor Blvd,Brownsville,TX,78526,HCA,H-GCD,Gulf Coast,TXA, Brownsville,100 A Alton Gloor Blvd Brownsville,25.9780246,-97.5146344
18001154,26910,HCA Houston Healthcare Tomball,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,605 Holderrieth Blvd,Tomball,TX,77375,HCA,H-GCD,Gulf Coast,TXQ, Tomball,605 Holderrieth Blvd Tomball,30.0874048,-95.6236173
18000975,34321,Rio Grande Regional Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,101 E Ridge Rd,McAllen,TX,78503,HCA,H-GCD,Gulf Coast,TXA, McAllen,101 E Ridge Rd McAllen,26.186448,-98.2207185
18000890,26516,HCA Houston Healthcare Pearland,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,11100 Shadow Creek Parkway,Pearland,TX,77584,HCA,H-GCD,Gulf Coast,TXA, Pearland,11100 Shadow Creek Parkway Pearland,29.5775464,-95.3901924
